doi,vol-no,numberOrnot,type,pnp,abstract
10.1257/aer.p20151094,105-05,0,empirical,1,"This paper examines the relationship between income, pollution, and mortality in China from 1991-2012. Using first-difference models, we document a robust positive association between city-level GDP and life expectancy. We also find a negative association between city-level particulate air pollution exposure and life expectancy that is driven by elevated cardiorespiratory mortality rates. The results suggest that while China's unprecedented economic growth over the last two decades is associated with health improvements, pollution has served as a countervailing force."
10.1257/aer.p20151095,105-05,0,empirical,1,"A burgeoning ""Climate-Economy"" literature has uncovered many effects of changes in temperature and precipitation on economic activity, but has made considerably less progress in modeling the effects of other associated phenomena, like natural disasters. We develop new, objective data on floods, focusing on Bangladesh. We show that rainfall and self-reported exposure are weak proxies for true flood exposure. These data allow us to study adaptation, giving accurate measures of both long-term averages and short term variation in exposure. This is important in studying climate change impacts, as people will not only experience new exposures, but also experience them differently."
10.1257/aer.p20151096,105-05,0,empirical,1,"High rates of customer default on utility bills present a barrier to the expansion of electricity access in the developing world. Pre-paid electricity metering offers a technological solution to ensuring timely payment. Using an eleven-year panel of pre-paid electricity customers in Cape Town, South Africa, we describe patterns of purchase behavior across property values, our measure of socioeconomic status. Poorer households buy electricity more often, in smaller increments, and are most likely to buy on payday. These patterns suggest difficulties smoothing income, and reveal a preference for small, frequent purchases that is incompatible with a standard monthly electricity billing cycle."
10.1257/aer.p20151097,105-05,0,empirical,1,"Rising household wealth may potentially impact both total fuel consumption and fuel-type composition, resulting in significant health and environmental implications. Using data from a field experiment in India, we explore the effects of a transfer program that provided poor, rural households with greater levels of assets and cash. Total fuel consumption rose as a result of the transfers. Households shifted from using electricity rather than kerosene as their primary form of light, but total kerosene consumption also rose. In contrast, we did not observe a shift to cleaner cooking fuels."
10.1257/aer.p20151028,105-05,0,empirical,1,"This paper combines panel data on monthly mortality rates of US states and daily temperature variables for over a century (1900-2004) to explore the regional evolution of the temperature-mortality relationship and documents two key findings. First, the impact of extreme heat on mortality is notably smaller in states that more frequently experience extreme heat. Second, the difference in the heat-mortality relationship between hot and cold states declined over 1900-2004, though it persisted through 2004. Continuing differences in the mortality consequences of hot days suggests that health motivated adaptation to climate change may be slow and costly around the world."
10.1257/aer.p20151029,105-05,0,empirical,1,"It has been proposed that geography influences economic growth for many reasons. Previous analyses of comparative development seem to have sidestepped the question of location-dependent depreciation. However the construction of new measures of tropical cyclone exposure enables us to consider the potential impact of this single source of capital depreciation. Using an estimate of asset destruction due to tropical cyclones, we identify the ""sandcastle depreciation"" rate, and find support for location-dependent depreciation by looking at average growth rates. This leads us to propose that heterogeneous and geographically-dependent depreciation rates may play an important role in global patterns of economic development."
10.1257/aer.p20151030,105-05,0,empirical,1,"Why wealth is systematically lower in the tropics remains a puzzle. We point out that latitude may have fundamental economic consequence because it plays a key role in how countries experience geophysical processes that have economic implications.  We demonstrate that annual fluctuations in the El Nino Southern Oscillation (ENSO) leads to hotter and dryer local weather across tropical countries and subsequently to substantial losses in agricultural yields, output, and value-added. If volatility in agricultural production impedes economic growth, the relatively stronger influence of ENSO on the tropics may offer yet another partial explanation for slower historical growth in the tropics."
10.1257/aer.p20151031,105-05,0,empirical,1,"Despite significant progress in average yields, the sensitivity of corn and soybean yields to extreme heat has remained relatively constant over time. We combine county-level corn and soybeans yields in the United States from 1989-2013 with the fraction of the planting area that is insured under the federal crop insurance program, which expanded greatly over this time period as premium subsidies increased from 20 percent to 60 percent. Insured corn and soybeans are significantly more sensitive to extreme heat that uninsured crops. Insured farmers do not have the incentive to engage in costly adaptation as insurance compensates them for potential losses."
10.1257/aer.p20151084,105-05,0,empirical,1,"Present-biased preferences engender a demand for commitment. Commitment is a problematic prediction, since we see so little of it. I quantitatively explore the reasons for the ""missing"" commitment. Extending the procrastination model in Carroll et al. (2009), I show how equilibrium commitment is related to (i) the standard deviation of the opportunity cost of time, (ii) the cost of delay, (iii) the degree of partial naivete, and (iv) the direct cost of commitment. The calibrated model demonstrates that the perceived benefits of commitment are often overwhelmed by the costs of commitment. Demand for commitment is a special case rather than the general case."
10.1257/aer.p20151085,105-05,0,theory,1,"While present bias is an old idea, it only took hold in economics following David Laibson's (1994) dissertation. Over the past 20 years, research has led to a much better theoretical understanding of present bias, when and how to apply it, and which ancillary assumptions are appropriate in different contexts. Empirical analyses have demonstrated how present bias can improve our understanding of behavior in various economic field contexts. Nonetheless, there is still much to learn. In this paper, we give our assessment of some lessons learned, and to be learned."
10.1257/aer.p20151086,105-05,0,theory,1,This article briefly summarizes and judges recent experimental developments exploring the predictions of dynamically inconsistent models. An opinion is provided as to how the literature may evolve given these recent advances.
10.1257/aer.p20151076,105-05,0,empirical,1,"Organizations depend on members' ""loyalty"" for their success. Studying a cooperative's attempt to increase deliveries by members, we show that the threat of sanctions leads to highly heterogeneous response among members. Despite the cooperative not actually enforcing the threatened sanctions, positive effects for some members persist for several months. Other members ""exit,"" stopping delivering altogether. Among non-compliant members we document substantial heterogeneity in beliefs about the legitimacy of the sanctions. This lack of common understanding highlights the role played by managers in organizations and provides a candidate explanation for lack of sanctions enforcement documented by Ostrom (1990) and other studies."
10.1257/aer.p20151077,105-05,0,empirical,1,"This paper examines frictions in contract renegotiation and its implications for allocative efficiency of contracts. Using a novel audit study methodology, we find that contracting parties in general are reluctant to engage in hold up. However, many efficient renegotiations of contracts also do not happen for the fear of being seen as extracting surplus. We also find that ex ante contracts are structured to mitigate losses arising from breach risk rather than hold up. The results also highlight that role of norms of fairness and reputation concerns in sustaining transactions in settings where contracts are primarily incomplete."
10.1257/aer.p20151078,105-05,0,theory,1,"We document the presence of multiple and varied constraints to small and medium firm growth. This presents both a practical problem for business training programs and a challenge to academic economists trying to identify mechanisms though which these programs may affect outcomes. External validity needs theory. This pushes researchers to narrowly defined and highly selected sample frames, which limits the potential for clear, generalizable policy prescriptions. Ultimately, larger samples, multi-arm evaluations, process documentation, and narrowly-focused, theory-supported empirical work are all needed, but the complexity of the problem limits what we learn from any single study."
10.1257/aer.p20151079,105-05,0,empirical,1,"We marketed a training program for lower level managers (line supervisors) to large factories in the Bangladeshi ready-made garment industry. Take-up of the program (even for a free slot) was low, due to intense production pressures, fire-fighting and concerns over retention of trained workers. Take-up is quite insensitive to pricing. There was higher interest and demand in training modules aimed at improving production processes and quality, rather than human resources and social compliance. Since the program was priced close to a commercially viable rate, it might be possible to develop a market provided they could be proved to be effective."
10.1257/aer.p20151090,105-05,0,theory,1,"This paper develops a theory that explains why financial crises follow profitable lending booms. When agents exhibit the ""availability heuristic"" and there is a long period of banking profitability, all agents&mdash;banks, their investors, and regulators&mdash;end up in an ""availability cascade,"" overestimating bankers' risk-management skills and underestimating the probability that observed outcomes are due to good luck. Consequently, banks profitably invest in riskier assets. Subsequently, if a public signal reveals that outcomes are luck-driven, investors withdraw funds, liquidity evaporates, and a crisis ensues. A loan resale market improves liquidity but increases the probability of a crisis."
10.1257/aer.p20151091,105-05,0,theory,1,"We model a financial market in which investor beliefs are shaped by representativeness. Investors overreact to a series of good news, because such a series is representative of a good state. A few bad news do not change investor minds because the good state is still representative, but enough bad news leads to a radical change in beliefs and a financial crisis. The model generates debt over-issuance, ""this time is different"" beliefs, neglect of tail risks, under- and over-reaction to information, boom-bust cycles, and excess volatility of prices in a unified psychological model of expectations."
10.1257/aer.p20151092,105-05,1,empirical,1,"Traditional capital structure theory predicts that reducing banks' leverage reduces the risk and cost of equity but does not change the weighted average cost of capital, and thus the rates for borrowers. We confirm that the equity of better-capitalized banks has lower beta and idiosyncratic risk. However, over the last 40 years, lower risk banks have not had lower costs of equity (lower stock returns), consistent with a stock market anomaly previously documented in other samples. A calibration suggests that a binding ten percentage point increase in Tier 1 capital to risk-weighted assets could double banks' risk premia over Treasury bills."
10.1257/aer.p20151093,105-05,0,empirical,1,"We ask whether past macro-economic and bank-specific shocks experienced and survived by a bank affect its current capitalization and risk-taking. Using Call Report data from 1984 to 2010, we find that a bank's experience shapes its capital structure and risk appetite. Banks that have survived periods of undercapitalization tend to implement higher equity ratios and take less risk in the periods following such crises, as measured by net charge-offs, non-performing loans, or earnings volatility 10-25 years later. However, observing high rates of failure among other banks stirs banks in the opposite direction. The evidence is suggestive of institutional memory affecting banks' capital and risk-taking."
10.1257/aer.p20151072,105-05,0,theory,1,"This article develops a theory in which a firm's adoption of a prosocial purpose can increase profitability by strengthening employees' reputation and identity&mdash;leading to higher effort and lower wages&mdash;as long as implementing purpose is costly with respect to direct monetary payoffs. Employees who value prosocial action will select into firms with a social purpose, which then become a visible carrier for these employees' identity and reputation."
10.1257/aer.p20151001,105-05,0,theory,1,"Organizations are all around us. Culture is trickier&mdash;to analyze and even to see. We consider both the effect of management on culture and the effect of culture on performance. We begin by describing an intervention that dramatically improved outcomes and conspicuously included a culture-change component. We then use details from this intervention to describe potential empirical analyses of the association between organizational culture and performance in this and similar settings. Finally, we describe opportunities for theoretical models to explore how and why organizational culture might influence organizational performance."
10.1257/aer.p20151074,105-05,0,theory,1,"While both cultural and legal norms (institutions) help foster cooperation, culture is the more primitive of the two and itself sustains formal institutions. Cultural changes are rarer and slower than changes in legal institutions, which makes it difficult to identify the role played by culture. Cultural changes and their effects are easier to identify in simpler, more controlled, environments, such as corporations. Corporate culture, thus, is not only interesting per se, but also as a laboratory to study the role of societal culture and the way it can be changed."
10.1257/aer.p20151075,105-05,0,empirical,1,"We use a variant of the Implicit Association Test (IAT) to examine individuals' implicit attitudes towards various ethnic groups. Using a population from the Democratic Republic of Congo, we find that the IAT measures show evidence of an implicit bias in favor of one's own ethnicity. Individuals have implicit views of their own ethnic group that are more positive than their implicit views of other ethnic groups. We find this implicit bias to be quantitatively smaller than the (explicit) bias one finds when using self-reported attitudes about different ethnic groups."
10.1257/aer.p20151032,105-05,0,empirical,1,"In earlier work we identified a robust negative association between religiosity and patents per capita, holding across countries as well as US states. In this paper we relate 11 indicators of individual openness to innovation (e.g., attitudes toward science and technology, new versus old ideas, change, risk taking, agency, imagination, and independence in children) to 5 measures of religiosity, including beliefs and attendance. We use five waves of the World Values Survey and control for sociodemographics, country and year fixed effects. Across the 52 regressions, greater religiosity is almost uniformly associated to less favorable views of innovation, with high significance."
10.1257/aer.p20151033,105-05,0,empirical,1,"Using data from an anti-vote-buying field experiment we conducted in the Philippines, we report and validate a proxy measure for vote-selling. We demonstrate that our proxy measure, vote-switching, changes as expected with voter preferences and monetary offers from candidates. Voters are less likely to vote for someone different than their initial preference the larger the favorability rating difference between the preferred and alternative candidates. Similarly, vote-switching increases the more money the alternative candidate offers compared to the preferred candidates. We also describe the effects of the promise-based interventions on vote-switching, reported in full in a companion paper."
10.1257/aer.p20151034,105-05,0,empirical,1,"IRBs can disallow high incentives they deem coercive. A vignette study on MTurk concerning participation in medical trials shows that a substantial minority of subjects concurs. They think high incentives cause more regret, and that more people would be better off without the opportunity to participate. We model observers as judging the ethicality of incentives by partially using their own utility. The model predicts that payments are repugnant only to the extent that they affect the participation decision, and more so for larger transactions. Incentivizing poorer participants is more repugnant, and in-kind incentives are less repugnant than monetary incentives."
10.1257/aer.p20151035,105-05,1,empirical,1,"Are attitudes about morally controversial (and often prohibited) market transactions affected by information about their costs and benefits? We address this question for the case of payments for human organs. We find in a survey experiment with US residents (N=3,417) that providing information on the potential efficiency benefits of a regulated price mechanism for organs significantly increased support for payments from a baseline of 52 percent to 71 percent. The survey was devised to minimize social desirability biases in responses, and additional analyses validate the interpretation that subjects were reflecting on the case-specific details provided, rather than just reacting to any information."
10.1257/aer.p20151036,105-05,0,empirical,1,"We conduct tests for reference dependent loss aversion using slot machine gamblers' decisions on when to quit playing for a visit to a casino. Evidence for a lagged status-quo reference point is found in the aggregate, while endogenously determined reference points are found when conditioning on betting intensity choices. Significant deviations from the distributions implied by random quitting support the loss aversion and diminishing sensitivity hypotheses."
10.1257/aer.p20151039,105-05,0,theory,1,"This paper develops a new laboratory test of the hypothesis that individual investors sell winners too early and ride losers too long. In the experiment, subjects invest in a risky asset, whose price evolves in near-continuous time, and they are provided with the option to liquidate it at a fixed salvage value. Optimal behavior is characterized by an upper and a lower stopping thresholds in the asset price space, thus producing a clear rational benchmark and eliminating known confounds. This design allows me to detect and quantify the disposition effect in a sample of 108 subjects."
10.1257/aer.p20151037,105-05,0,empirical,1,"This paper considers the measurement of consumer loss aversion in product markets. We introduce a test based on a ""substitution effect,"" focusing on how the end of a sale affects sales not of the good itself, but a substitute good. Such an effect cannot be easily confounded with consumer stockpiling. Using a unique dataset from an online hardware retailer, we find evidence consistent with consumer loss aversion. Moreover, we find that less experienced consumers suffer a more prominent loss aversion bias compared to more experienced consumers."
10.1257/aer.p20151038,105-05,0,empirical,1,"We test for consumption smoothing using bankruptcy data on players in the National Football League (NFL), who typically earn several million dollars during an income spike that lasts a few years. The life-cycle hypothesis predicts that players should save substantially while playing and then have little risk of bankruptcy post-NFL. However, players in our sample begin to file for bankruptcy soon after they stop playing and continue filing at a high rate through at least the first 12 years of retirement. Players' total earnings and career lengths have surprisingly little effect on the risk of bankruptcy."
10.1257/aer.p20151047,105-05,0,theory,1,"Behavioral economics has become an important and integrated component of modern economics. Behavioral economists embrace the core principles of economics&mdash;optimization and equilibrium&mdash;and seek to develop and extend those ideas to make them more empirically accurate. Behavioral models assume that economic actors try to pick the best feasible option and those actors sometimes make mistakes. Behavioral ideas should be incorporated throughout the first-year undergraduate course. Instructors should also considering allocating a lecture (or more) to a focused discussion of behavioral concepts. We describe our approach to such a lecture, highlighting six modular principles and empirical examples that support them."
10.1257/aer.p20151048,105-05,0,theory,1,"In this paper, I provide an overview of how one might teach an advanced undergraduate elective on Behavioral Economics. While I focus on the structure and themes from my own course, I also attempt to highlight ways in which instructors might choose an alternative structure. Throughout, I emphasize how a Behavioral Economics elective is a great vehicle in which to highlight to undergraduates the science of Economics."
10.1257/aer.p20151049,105-05,0,theory,1,"Policymakers have recently embraced Behavioral Economics as an alternative approach which recognizes the limits and consequences of human decision-making.  Early applications of BE (""nudges"") produced notable successes and helped to set the stage for more aggressive applications aimed at the deeper causes of policy problems.  We contend that policies that aspire to simplify products and incentives, rather than choice environments, aggressively protect consumers from behavioral exploitation, and leverage BE to enhance the design and implementation of traditional policy instruments offer solutions commensurate with contemporary challenges. Case studies in health insurance, privacy, and climate change illustrate the application of these ideas."
10.1257/aer.p20151017,105-05,0,empirical,1,"We examine high stakes three-person bargaining in a game show where contestants bargain over a large money amount that is split into three unequal shares. We find that individual behavior and outcomes are strongly influenced by equity concerns: those who contributed more to the jackpot claim larger shares, are less likely to make concessions, and take home larger amounts. Contestants who announce that they will not back down do well relative to others, but they do not secure larger absolute amounts and they harm others. There is no evidence of a first-mover advantage and little evidence that demographic characteristics matter."
10.1257/aer.p20151018,105-05,0,empirical,1,"We derive a dynamic theoretical model of renewable resource extraction. In the social optimum, maximum extraction occurs in the last period only, while in the unique subgame perfect Nash equilibrium, the resource is depleted immediately. The predictions are tested in a field experiment conducted at a recreational fishing pond. The subjects, experienced recreational fishermen, face a dynamic social dilemma, in which they risk depletion of the resource by overfishing. We find strong support for the Nash equilibrium. Fishermen exert as much effort in the last period as in preceding periods, and effort is independent of the stock of fish."
10.1257/aer.p20151019,105-05,0,empirical,1,"In most collective actions, individuals' incentives are not perfectly aligned with the goals of the group/team they are part of. We investigate how individual specific incentives affect both individuals and team leaders' strategies in a natural setting. We use a discontinuity in individual rewards in batsmen scoring in cricket to identify the causal effect of such incentives on behavior. We find that batsmen react to the presence of individual-specific incentives by adopting strategies that may be suboptimal at the team level. More surprisingly, we also find that team captains react to these individual incentives by adopting suboptimal strategies at the team level, which may bring large benefits to the individual players. These results suggest a complex interplay of individual and team incentives which we conjecture may arise in repeated team interactions."
10.1257/aer.p20151004,105-05,0,theory,1,"We compare the liquidity that six developed countries have built into their employer-based defined contribution (DC) retirement schemes. In Germany, Singapore, and the UK, withdrawals are essentially banned no matter what kind of transitory income shock the household realizes. By contrast, in Canada and Australia, liquidity is state-contingent. For a middle-income household, DC accounts are completely illiquid unless annual income falls substantially, in which case DC assets become highly liquid. The US stands alone in the universally high liquidity of its DC system: whether or not income falls, the penalties for early withdrawal are low or non-existent."
10.1257/aer.p20151005,105-05,0,empirical,1,"It is well established that consumption is ""hump"" shaped over an individual's lifecycle, peaking in middle age and then declining in the years that follow. Prior research has documented that consumption declines at retirement, which is inconsistent with the standard lifecycle model with consumption smoothing. Using a unique dataset with detailed administrative records of credit and debit card transactions, we show the hump shaped lifecycle consumption pattern as documented in the literature. Additionally, we show compositional changes in consumption expenditures across individuals in the years surrounding retirement confirming the results of Aguiar and Hurst (2005, 2013)."
10.1257/aer.p20151006,105-05,0,empirical,1,"In this paper we compare changes in asset allocations between mutual funds held in defined contribution pension plans and funds held by other investors. We investigate how flows into equity and fixed income mutual funds depend on macroeconomic conditions. We find that defined contribution plans react more sensitively to these conditions, suggesting effects on mutual fund managers and other investors."
10.1257/aer.p20151007,105-05,1,empirical,1,"Using data from China's Urban Household Survey and exploiting China's mandatory retirement policy, we use the regression discontinuity approach to estimate the impact of retirement on household expenditures. Retirement reduces total non-durable expenditures by 20 percent. Among the categories of non-durable expenditures, retirement reduces work-related expenditures and expenditures on food consumed at home but has an insignificant effect on entertainment expenditures. After excluding these three components, retirement does not have an effect on the remaining non-durable expenditures. It suggests that the retirement consumption puzzle might not be a puzzle if a life-cycle model with home production is considered."
10.1257/aer.p20151000,105-05,0,empirical,1,"Using an innovative survey measure of management practices on over 15,000 firms, we find private equity firms are better managed than government, family, and privately owned firms, and have similar management to publicly listed firms. This is true both in developed and developing countries. Looking at management practices in detail we find that private equity owned firms have strong people management practices (hiring, firing, pay, and promotions), but even stronger monitoring management practices (lean manufacturing, continuous improvement, and monitoring). Plant managers working in private equity owned firms also report greater autonomy from headquarters over sales, marketing, and new product introduction."
10.1257/aer.p20151073,105-05,0,theory,1,"We extend traditional agency theory by exploring the roles for formal measures when managerial behavior is not governed by rules, formulas, or contracts. Part I describes relational incentive contracts with informal weights on formal performance measures. More importantly, it also explores how formal measures could be used in models of informal management, such as adaptation and coordination, politics and influence, leadership, and informal authority. Part II considers the benefits from allowing key stakeholders to develop their own, potentially inferior, performance measures. The collaboration to create a ""balanced scorecard"" of performance measures can help change an organization's culture."
10.1257/aer.p20151002,105-05,1,empirical,1,"Does the ""soft side"" of management matter? Many managers assert that ""firm culture"" is strongly correlated with productivity, but there are few robust tests of this assertion. In a set of field experiments, we study driver productivity within a large US logistics company that is arguably transitioning from one relational contract to another, while leaving formal practices and incentives unchanged. We find that sites under the new contract are associated with 1/8 percent higher productivity. Our findings suggest that relational contracts have a first-order effect on productivity and that they can be altered over time."
10.1257/aer.p20151003,105-05,1,empirical,1,"We document the correlation between the workplace diversity in bureaucratic organizations and public service delivery. We do so in the context of Nigeria, where ethnicity is a salient form of self-identity. We thus expand the empirical management literature highlighting beneficial effects of workplace diversity, that has focused on private sector firms operating in high-income settings. Our analysis combines two data sources: (i) a survey to over 4,000 bureaucrats eliciting their ethnic identities; (ii) independent engineering assessments of completion rates for 4,700 public sector projects. The ethnic diversity of bureaucracies matters positively: a one standard deviation increase in the ethnic diversity of bureaucrats corresponds to 9 percent higher completion rates. In line with the management literature from private sector firms in high-income countries, this evidence highlights a potentially positive side of ethnic diversity in public sector organizations, in the context of Sub-Saharan Africa."
10.1257/aer.p20151013,105-05,0,theory,1,"A commonly held view is that laboratory experiments provide researchers with more ""control"" than natural field experiments. This paper explores how natural field experiments can provide researchers with more control than laboratory experiments. While laboratory experiments provide researchers with a high degree of control in the environment which participants agree to be experimental subjects, when participants systematically opt out of laboratory experiments, the researcher's ability to manipulate certain variables is limited. In contrast, natural field experiments bypass the participation decision altogether due to their covertness, and they allow for a potentially more diverse participant pool within the market of interest."
10.1257/aer.p20151015,105-05,0,theory,1,It is very important to know how much we can extrapolate from a study's results. This paper examines the issue using data from impact evaluations in development.
10.1257/aer.p20151016,105-05,0,empirical,1,"Suppose a policymaker is interested in the impact of an existing social program. Impact estimates using observational data suffer potential bias, while unbiased experimental estimates are often limited to other contexts. This creates a practical trade-off between internal and external validity for evidence-based policymaking. We explore this trade-off empirically for several common policies analyzed in development economics, including microcredit, migration, and education interventions. Based on mean-squared error, non-experimental evidence within context outperforms experimental evidence from another context. This advantage declines, but may not reverse, with experimental replication. We offer four reasons these findings are of general relevance to policy evaluation."
10.1257/aer.p20151020,105-05,0,theory,1,"Researchers often report estimates and standard errors for the object of interest (such as a treatment effect) based on a single specification of a statistical model. We propose a systematic approach to assessing sensitivity to specification. We construct estimates of the object of interest for each of a large set of models. Our proposed robustness measure is the standard deviation of the point estimates over the set of models. Each member of the set is generated by splitting the sample into two subsamples based on covariate values, constructing separate parameter estimates for each subsample, and then combining the results."
10.1257/aer.p20151021,105-05,0,theory,1,"We survey and apply several techniques from the statistical and computer science literature to the problem of demand estimation. To improve out-of-sample prediction accuracy, we propose a method of combining the underlying models via linear regression. Our method is robust to a large number of regressors; scales easily to very large data sets; combines model selection and estimation; and can flexibly approximate arbitrary non-linear functions. We illustrate our method using a standard scanner panel data set and find that our estimates are considerably more accurate in out-of-sample predictions of demand than some commonly used alternatives."
10.1257/aer.p20151022,105-05,0,theory,1,We consider estimation of and inference about coefficients on endogenous variables in a linear instrumental variables model where the number of instruments and exogenous control variables are each allowed to be larger than the sample size. We work within an approximately sparse framework that maintains that the signal available in the instruments and control variables may be effectively captured by a small number of the available variables. We provide a LASSO-based method for this setting which provides uniformly valid inference about the coefficients on endogenous variables. We illustrate the method through an application to demand estimation.
10.1257/aer.p20151023,105-05,0,theory,1,"Most empirical policy work focuses on causal inference. We argue an important class of policy problems does not require causal inference but instead requires predictive inference. Solving these ""prediction policy problems"" requires more than simple regression techniques, since these are tuned to generating unbiased estimates of coefficients rather than minimizing prediction error. We argue that new developments in the field of ""machine learning"" are particularly useful for addressing these prediction problems. We use an example from health policy to illustrate the large potential social welfare gains from improved prediction."
10.1257/aer.p20151024,105-05,0,empirical,1,"We examine whether online learning technologies have led to lower prices in higher education. Using data from the Integrated Postsecondary Education Data System, we show that online education is concentrated in large for-profit chains and less-selective public institutions. We find that colleges with a higher share of online students charge lower tuition prices. We present evidence of declining real and relative prices for full-time undergraduate online education from 2006 to 2013. Although the pattern of results suggests some hope that online technology can ""bend the cost curve"" in higher education, the impact of online learning on education quality remains uncertain."
