"","doi","volno","abstract"
"11",NA,"8805","Does national market size matter for industrial structure? This has been
suggested by theoretical work on 'home market' effects. In the present
paper, the author shows that what previously was regarded as an
assumption of convenience--transport costs only for the differentiated
goods--matters a great deal. In a focal case in which differentiated and
homogeneous goods have identical transport costs, the home market effect
disappears. This paper discusses available evidence on the relative
trade costs for differentiated and homogeneous goods. No compelling
argument is found that market size will matter for industrial structure."
"12",NA,"8805","This paper studies endogenous world balanced-growth equilibria in which
national learning productivity differentials govern relative per capita
products. Learning productivities depend on the national share of world
specialized-goods production, national and world scale, and familiarity
with the foreign economy. Familiarity indexes the extent to which
imported specialized goods enhance learning productivity. The authors
find that mutual familiarization causes per capita products to converge.
Unfamiliar economies diverge substantially and persistently. Unilateral
familiarization of a less-developed country (LDC) with the leading
economy causes the LDC to catch up to, and even overtake, the leader."
"13",NA,"8805","This paper presents a simple R&D-driven endogenous growth model to shed
light on some puzzling economic trends. The model can account for why
patent statistics have been roughly constant even though R&D employment
has risen sharply over the last thirty years. The model also illuminates
why steadily increasing R&D effort has not led to any upward trend in
economic growth rates, as is predicted by earlier R&D-driven endogenous
growth models with the 'scale effect' property."
"14",NA,"8901","The authors analyze an economy that lacks a strong legal-political
institutional infrastructure and is populated by multiple powerful
groups. Powerful groups dynamically interact via a fiscal process that
effectively allows open access to the aggregate capital stock. In
equilibrium, this leads to slow economic growth and a 'voracity effect,'
by which a shock, such as a terms of trade windfall, perversely
generates a more-than-proportionate increase in fiscal redistribution
and reduces growth. The authors also show that a dilution in the
concentration of power leads to faster growth and a less procyclical
response to shocks."
"15",NA,"8901","Although microeconomic studies find a positive relationship between R&D
and skill premia, much of the recent rise in U.S. wage inequality was
accompanied by slowing labor-productivity growth and relatively slow
introduction of new technologies. These conflicting observations are
consistent with the effects of a skewed distribution of 'absorptive
capacities'--the rate at which technology-specific skills can be
acquired--in a model of endogenous technological change. The framework
is used to assess whether the productivity slowdown and the rise in wage
inequality can be jointly accounted for by the contemporaneous decline
in the growth rate of labor quality."
"16",NA,"8901","In skill-biased (deskilling) technological revolutions, learning
investments required by new machines are greater (smaller) than those
required by preexisting machines. Skill-biased (deskilling) revolutions
trigger reallocations of capital from slow- (fast-) to fast- (slow-)
learning workers, thereby reducing the relative and absolute wages of
the former. The model of skill-biased (deskilling) revolutions provides
insight into developments since the mid-1970s (in the 1910s). The
empirical work documents a large increase in the interindustry
dispersion of capital-labor ratios since 1975. Changes in industry
capital intensity are related to the skill composition of the labor
force."
"17",NA,"8901","The authors examine self-control problems--modeled as time-inconsistent,
present-biased preferences--in a model where a person must do an
activity exactly once. They emphasize two distinctions: do activities
involve immediate costs or immediate rewards, and are people
sophisticated or naive about future self-control problems? Naive people
procrastinate immediate-cost activities and preproperate--do too
soon--immediate-reward activities. Sophistication mitigates
procrastination but exacerbates preproperation. Moreover, with immediate
costs, a small present bias can severely harm only naive people, whereas
with immediate rewards it can severely harm only sophisticated people.
Lessons for savings, addiction, and elsewhere are discussed."
"18",NA,"8901","Recent articles have shown that contracts can support the efficient
outcome for bilateral trade even in the face of specific investments and
incomplete contracting. These studies typically considered 'selfish'
investments that benefit the investor (e.g., the seller's investment
reduces her production costs). The authors find very different results
for 'cooperative' investments that directly benefit the investor's
partner (e.g., the seller's investment improves the buyer's value of the
good). Most importantly, if committing not to renegotiate the contract
is impossible, then contracting has no value, i.e., the parties cannot
do better than to abandon contracting altogether in favor of ex post
negotiation."
"19",NA,"8901","This paper studies decisionmaking with rules of thumb in the context of
dynamic decision problems and compares it to dynamic programming. A rule
is a fixed mapping from a subset of states into actions. Rules are
compared by averaging over past experiences. This can lead to favoring
rules which are only applicable in good states. Correcting this good
state bias requires solving the dynamic program. The authors provide a
general framework and characterize the asymptotic properties. They apply
it to provide a candidate explanation for the sensitivity of consumption
to transitory income."
"20",NA,"8901","The authors model a war of attrition with N+K firms competing for N
prizes. In a 'natural oligopoly' context, the K - 1 lowest-value firms
drop out instantaneously, even though each firm's value is private
information to itself. In a 'standard setting' context, in which every
competitor suffers losses until a standard is chosen, even after giving
up on its own preferred alternative, each firm's exit time is
independent both of K and of other players' actions. The authors'
results explain how long it takes to form a winning coalition in
politics. Solving the model is facilitated by the revenue equivalence
theorem."
"21",NA,"8901","The World Trade Organization (WFO) lacks the power to directly enforce
agreements. It is, therefore, important to understand what role the WTO
can play to facilitate international cooperation and whether a
multilateral institution can offer distinct advantages over a web of
bilateral agreements. This paper examines two potential benefits of a
multilateral trade institution: first, verifying violations of the
agreements and informing third parties, thus facilitating multilateral
reputation mechanisms; second, promoting multilateral trade negotiations
rather than a web of bilateral negotiations. The model suggests that a
multilateral approach is particularly important when there are strong
imbalances in bilateral trading relationships."
"22",NA,"8901","The authors propose a unified theoretical framework within which to
interpret and evaluate the foundational principles of GATT. Working
within a general equilibrium trade model, they represent government
preferences in a way that is consistent with national income
maximization but also allows for the possibility of distributional
concerns as emphasized in leading political-economy models. Using this
general framework, the authors establish that GATT's principles of
reciprocity and nondiscrimination can be viewed as simple rules that
assist governments in their effort to implement efficient trade
agreements. From this perspective, the authors argue that preferential
agreements undermine GATT's ability to deliver efficient multilateral
outcomes."
"23",NA,"8901","The author estimate a decomposition of productivity and hours into
technology and nontechnology components. Two results stand out: (1) the
estimated conditional correlations of hours and productivity are
negative for technology shocks, positive for nontechnology shocks; and
(2) hours show a persistent decline in response to a positive technology
shock. Most of the results hold for a variety of model specifications
and for the majority of G7 countries. The picture that emerges is hard
to reconcile with a conventional real-business-cycle interpretation of
business cycles but is shown to be consistent with a simple model with
monopolistic competition and sticky prices."
"24",NA,"8901","Scale economies and agglomeration externalities are alleged to be
important determinants of economic growth. To assess these effects, the
authors outline and estimate a microfoundations model based on a dynamic
cost function specification. This model provides for the separate
identification of the impacts of externalities and cyclical utilization
on short- and long-run scale economies and input substitution patterns.
The authors find that scale economies are prevalent in U.S
manufacturing; cost savings and scale effects often attributed to
internal inputs may be due to external factors; and supply-side
agglomeration effects are greater than demand-side, especially in the
long run."
"25",NA,"8903","Examining the correlation between trade and income cannot identify the
direction of causation between the two. Countries' geographic
characteristics, however, have important effects on trade and are
plausibly uncorrelated with other determinants of income. This paper,
therefore, constructs measures of the geographic component of countries'
trade and uses those measures to obtain instrumental variables estimates
of the effect of trade on income. The results provide no evidence that
ordinary least-squares estimates overstate the effects of trade.
Further, they suggest that trade has a quantitatively large and robust,
though only moderately statistically significant, positive effect on
income."
"26",NA,"8903","The authors evaluate the voluntary export restraint that was initially
placed on exports of automobiles from Japan in 1981. They evaluate the
impact this policy had on U.S. consumer welfare, firm profits, and
foregone tariff revenue from its initiation through 1990."
"27",NA,"8903","This paper constructs a model of the transfer paradox for a small open
economy with nontraded goods. It demonstrates that increased production
of nontraded goods can change their domestic price so as to offset the
otherwise beneficial effect of aid and, under certain conditions, to
create a transfer paradox even in a small country. The model is
estimated with time-series data for 44 aid-dependent countries for the
period 1970-90. The results support the model and show that the
nontraded goods expansion effect is more likely to cause immiserization
than Harry G. Johnson's (1967) tariff-distorting export-displacement
effect."
"28",NA,"8903","This paper presents a dynamic general equilibrium model of R&D-based
trade between two structurally identical countries in which both
innovation and skill acquisition rates are endogenously determined.
Trade liberalization increases R&D investment and the rate of
technological change. It also reduces the relative wage of unskilled
workers and results in skill upgrading within each industry when R&D is
the skilled-labor intensive activity relative to manufacturing of final
products. Time-series evidence from the United States and simulation
analysis support the empirical relevance of the model, which offers a
North-North trade explanation for increasing wage inequality."
"29",NA,"8903","In the wake of the Mexican and Asian currency turmoil, the subject of
financial crises have come to the forefront of academic and policy
discussions. This paper analyzes the links between banking and currency
crises. The authors find that problems in the banking sector typically
precede a currency crisis--the currency crisis deepens the banking
crisis, activating a vicious spiral; financial liberalization often
precedes banking crises. The anatomy of these episodes suggests that
crises occur as the economy enters a recession, following a prolonged
boom in economic activity that was fueled by credit, capital inflows,
and accompanied by an overvalued currency."
"30",NA,"8903","Endorsements are a simple language for communication between interest
group leaders and group members. The members, who share policy concerns,
may not perfectly understand where their interests lie on certain
issues. If their leaders cannot fully explain the issues, they can
convey some information by endorsing a candidate or party. When interest
groups endorse legislative contenders, the candidates may compete for
backing. Policies may favor special interests at the expense of the
general public. The authors examine the conditions under which parties
compete for endorsements, the extent to which policy outcomes are
skewed, and the normative properties of the political equilibria."
"31",NA,"8903","Using state-by-state voting data for U.S. presidential elections, the
authors observe that voter turnout is a positive function of predicted
closeness. To explain the strategic component of political
participation, they develop a follow-the-leader model. Political leaders
expend effort according to their chance of being pivotal, which depends
on the expected closeness of the race (at both state and national
levels) and how voters respond to their effort. Structural estimation
supports this model. For example, a 1 percent increase in the predicted
closeness at the state level stimulates leaders' efforts, which
increases turnout by 0.34 percent."
"32",NA,"8903","The author develops a model in which a firm's only asset is its name,
which summarizes its reputation, and studies the forces that cause names
to be valuable, tradable assets. An adverse selection model in which
shifts of ownership are not observable guarantees an active market for
names with either finite or infinite horizons. No equilibrium exists in
which only good types buy good names. The reputational dynamics that
emerge from the model are more realistic than those in standard
game-theoretic reputation models and suggest that adverse selection
plays a crucial role in understanding firm reputation."
"33",NA,"8903","Recent developments in computer networks have driven the cost of
distributing information virtually to zero, creating extraordinary
opportunities for sharing product evaluations. The authors present
pricing and subsidy mechanisms that operate through a computerized
market and induce the efficient provision of evaluations. The mechanisms
overcome three major challenges: first, evaluations, which are public
goods, are likely to be underprovided; second, an inefficient ordering
of evaluators may arise; and third, the optimal quantity of evaluations
depends on what is learned from the initial evaluations."
"34",NA,"8903","Oligopoly models where prior actions by firms affect subsequent marginal
costs have been useful in illuminating policy debates in areas such as
antitrust regulation, environmental protection, and international
competition. The authors discuss properties of such models when a
Cournot equilibrium occurs at the second stage. Aggregate production
costs strictly decline with no change in gross revenue or gross consumer
surplus if the prior actions strictly increase the variance of marginal
costs without changing the marginal-cost sum. Therefore, unless the cost
of inducing second-stage asymmetry more than offsets this reduction in
production costs, the private and social optima are asymmetric."
"35",NA,"8903","Governments often promote inward foreign investment to encourage
technology 'spillovers' from foreign to domestic firms. Using panel data
on Venezuelan plants, the authors find that foreign equity participation
is positively correlated with plant productivity (the 'own-plant'
effect), but this relationship is only robust for small enterprises.
They then test for spillovers from joint ventures to plants with no
foreign investment. Foreign investment negatively affects the
productivity of domestically owned plants. The net impact of foreign
investment, taking into account these two offsetting effects, is quite
small. The gains from foreign investment appear to be entirely captured
by joint ventures."
"36",NA,"8903","Does the positive correlation between infrastructure and productivity
reflect causation? If so, in which direction? The author finds that,
when growth in roads (the largest component of infrastructure) changes,
productivity growth changes disproportionately in U.S. industries with
more vehicles. That vehicle-intensive industries benefit more from
road-building suggests that roads are productive. At the margin,
however, road investments do not appear unusually productive.
Intuitively, the interstate system was highly productive, but a second
one would not be. Road-building thus explains much of the productivity
slowdown through a one-time, unrepeatable productivity boost in the
1950s and 1960s."
"37",NA,"8904","Economists and psychologists argue that individuals skew personal
beliefs to accord with their own interests. To test for the presence of
self-serving beliefs, we surveyed 1,200 members of the Mormon Church
about tithing. A tithe is a voluntary contribution equal to 10 percent
of income. Since respondents must decide privately what income items to
tithe, we observe how the income definition depends on an individual's
religious and financial incentives. We find surprisingly little evidence
that an individual's financial situation influences beliefs about what
counts as income for the tithe. However, ambiguity increases the role
for self-serving biases."
"38",NA,"8904","In recent years workplace smoking policies have become increasingly
prevalent and restrictive. Using data from two large-scale national
surveys, we investigate whether these policies reduce smoking. Our
estimates suggest that workplace bans reduce smoking prevalence by 5
percentage points and daily consumption among smokers by 10 percent.
Although workers with better health habits are more likely to work at
firms with smoking bans, estimates from systems of equations indicate
that these results are not subject to an omitted variables bias. The
rapid increase in bans can explain all of the recent drop in smoking
among workers relative to nonworkers."
"39",NA,"8904","We report on the design of the new clearinghouse adopted by the National
Resident Matching Program, which annually fills approximately 20,000
jobs for new physicians. Because the market has complementarities
between applicants and between positions, the theory of simple matching
markets does not apply directly. However, computational experiments show
the theory provides good approximations. Furthermore, the set of stable
matchings, and the opportunities for strategic manipulation, are
surprisingly small. A new kind of ""core convergence"" result explains
this; that each applicant interviews only a small fraction of available
positions is important. We also describe engineering aspects of the
design process."
"40",NA,"8904","We examine strategic interactions between firms and planners in China,
comparing behavior between: (i) students and managers with field
experience with this situation, (ii) standard versus increased monetary
incentives, and (iii) sessions conducted ""in context,"" making explicit
reference to interactions between planners and managers, and those
without any such references. The dynamics of play are similar across
treatments with play only gradually, and incompletely, converging on a
pooling equilibrium. A fivefold increase in incentives significantly
increases initial levels of strategic play. Games played in context
generated greater levels of strategic play for managers, with minimal
impact on students."
"41",NA,"8904","This article presents an empirical study of market power in the British
electricity industry. Estimates of price-cost markups are derived using
direct measures of marginal cost and several approaches that do not rely
on cost data. Since two suppliers facing inelastic demand dominate the
industry, most oligopoly models predict prices substantially above
marginal costs. All estimates indicate that prices, while higher than
marginal costs, are not nearly as high as most theoretical models
predict. Regulatory constraints, the threat of entry, and financial
contracts between the suppliers and their customers are considered as
possible explanations for the observed price levels."
"42",NA,"8904","This paper uses direct evidence to evaluate whether asymmetric
information is a barrier to trade in the largest market for private
insurance in the world: life insurance. We report several findings that
seem difficult to reconcile with the conventional theory of insurance
under asymmetric information. We conjecture that sellers may know their
costs of production better than consumers in this market, as in those
for most other products."
"43",NA,"8904","This paper reports findings from an experiment that implements a
search-theoretic model of money as a medium of exchange. The question
examined is whether subjects learn to adopt the same commodities as
media of exchange that the model predicts will be used in equilibrium.
We report that subjects have a strong tendency to play ""fundamental""
rather than ""speculative"" strategies even in environments where
speculative strategies yield higher payoffs. We examine some possible
motivations for subjects' behavior and conclude that subjects are mainly
motivated by past payoff experience as opposed to the marketability
considerations that the theory emphasizes."
"44",NA,"8904","This paper studies a general-equilibrium model of a dynamic economy with
menu costs. Each firm's productivity is exposed to idiosyncratic and
aggregate productivity shocks around a trend, and the money supply to
monetary shocks around a trend. All consumption, pricing, and production
decisions are based on optimizing behavior. There exists a staggered
Markov perfect equilibrium with prices determined by a two-sided (s, S)
markup strategy. The paper analyzes the optimal markup strategy and
investigates the dynamics of the price index and the aggregate output.
The welfare consequences of the uncertain aggregate productivity and
money supply are also examined."
"45",NA,"8904","Empirical research on the permanent-income hypothesis (PIH) has found
that consumption growth is excessively sensitive to predictable changes
in income. This finding is interpreted as strong evidence against the
PIH. We propose an explanation for apparent excess sensitivity that is
based on a quantitative equilibrium model of household production in
which permanent-income consumers respond to shifts in sectoral wages and
prices by substituting work effort and consumption across home and
market sectors. Although the PIH is true, this mechanism generates
apparent excess sensitivity because market consumption responds to
predictable income growth."
"46",NA,"8904","This paper explores investment fluctuations due to discrete changes in a
plant's capital stock. The resulting aggregate investment dynamics are
surprisingly rich, reflecting the interaction between a replacement
cycle, the cross-sectional distribution of the age of the capital stock,
and an aggregate shock. Using plant-level data, lumpy investment is
procyclical and more likely for older capital. Further, the predicted
path of aggregate investment that neglects vintage effects tracks actual
aggregate investment reasonably well. However, ignoring fluctuations in
the cross-sectional distribution of investment vintages can yield
predictable nontrivial errors in forecasting changes in aggregate
investment."
"47",NA,"8905","William Vickrey's predicted equivalences between first-price sealed-bid
and Dutch auctions, and between second-price sealed-bid and English
auctions, are tested using field experiments that auctioned off
collectible trading cards over the Internet. The results indicate that
the Dutch auction produces 30-percent higher revenues than the
first-price auction format, a violation of the theoretical prediction
and a reversal of previous laboratory results, and that the English and
second-price formats produce roughly equivalent revenues."
"48",NA,"8905","The 44 Liquormart decision, eliminating Rhode Island's ban on liquor
price advertising, made Rhode Island the subject of a natural experiment
for measuring the effect of advertising on prices. Using Massachusetts
prices as controls, we find that advertising stores substantially cut
only prices of the products that they advertise. Prices of other
products, at both advertising and nonadvertising stores, do not change.
Advertising stores cut their prices on products advertised by rivals,
while nonadvertising stores do not. We find no reductions in price
dispersion across stores. Newspaper-advertising stores appear to draw a
higher share of customers after they advertise."
"49",NA,"8905","We present a dynamic model of adverse selection to examine the
interactions between new and used goods markets. We find that the used
market never shuts down, the volume of trade can be large, and
distortions are lower than previously thought. New cars prices can be
higher under adverse selection than in its absence. An extension to
several brands that differ in reliability leads to testable predictions
of the effects of adverse selection. Unreliable brands have steeper
price declines and lower volumes of trade. We contrast these predictions
with those of a model where brands physically depreciate at different
rates."
"50",NA,"8905","This paper provides a theory of lobby formation within a framework in
which trade policy is determined through political contributions. Under
certain conditions, free trade turns out to be an equilibrium outcome
either when the government has a high affinity for political
contributions or when it cares a great deal about social welfare.
Moreover, greater inequality in asset distribution results in a greater
number of lobbies and, in most cases, more protection for each of these
lobbies. Furthermore, industries with higher levels of capital stock,
fewer capitalists, more inelastic demand, and smaller geographical
dispersion are the ones that get organized."
"51",NA,"8905","The Grossman-Helpman ""Protection for Sale"" model, concerning the
political economy of trade protection, yields clear predictions for the
cross-sectional structure of import barriers. Our objective is to check
whether the predictions of the Grossman-Helpman model are consistent
with the data and, if the model finds support, to estimate its key
structural parameters. We find that the pattern of protection in the
United States in 1983 is broadly consistent with the predictions of the
model. A surprising finding is that the weight of welfare in the
government's objective function is many times larger than the weight of
contributions."
"52",NA,"8905","We study a dynamic version of Meltzer and Richard's median-voter model
of the size of government. Taxes are proportional to total income, and
they are redistributed as equal lump-sum transfers. Voting takes place
periodically over time, and each consumer votes for the tax rate that
maximizes his equilibrium utility. We calibrate the model to U.S. data.
Key elements in the calibration are the income and wealth distribution
and the parameters governing the leisure and consumption choices. The
total size of transfers predicted by our political-economy model is
quite close to the size of transfers in the data."
"53",NA,"8905","Theories of organization of legislatures have mainly focused on the U.S.
Congress, explaining why committee systems emerge there, but not
explaining variance in organization across legislatures of different
countries. To analyze the effects of different constitutional features
on the internal organization of legislatures, we adopt a vote-buying
model and consider the incentives to delegate decision rights in a game
among legislative chambers. We show how presidential veto power and
bicameral separation can encourage a legislative chamber to create
internal veto players or supermajority rules, while a unicameral
structure can encourage legislators to delegate power to a leader."
"54",NA,"8905","In this paper we study the quantitative impact of marginal tax rates on
the distribution of income. Our methodology builds on computable
general-equilibrium framework. We find that distortions from marginal
tax rate changes of the sort implied by the Tax Reform Act of 1986 have
sizable effects on income inequality in a reasonably quantified
life-cycle setting: In our model rate changes alone capture half the
increase in the pretax Gini that actually occurred between 1984 and
1989."
"55",NA,"8905","Our thesis is that poor countries are poor because they employ
arrangements for which the equilibrium outcomes are characterized by
inferior technologies being used, and being used inefficiently. In this
paper, we analyze the consequences of one such arrangement. In each
industry, the arrangement enables a coalition of factor suppliers to be
the monopoly seller of its input services to all firms using a
particular production process. We find that eliminating this monopoly
arrangement could well increase output by roughly a factor of 3 without
any increase in inputs."
"56",NA,"8905","Theory restricts short-run job creation and destruction responses and
cumulative employment and job reallocation responses to allocative and
aggregate shocks. We formulate these restrictions and implement them for
postwar data on U.S. manufacturing. Allocative shocks are the main
driving force behind cyclical movements in job reallocation, but their
contribution to employment fluctuations varies greatly across
alternative identification assumptions. Also, the data compel one or
both of the following inferences: aggregate shocks greatly alter the
shape and not just the mean of the cross-sectional density of employment
growth rates; allocative shocks cause short-run reductions in aggregate
employment."
"57",NA,"8905","I present a model where firms decide what types of jobs to create and
then search for suitable workers. When there are few skilled workers and
the skilled-unskilled productivity gap is small, firms create a single
type of job and recruit all workers. An increase in the proportion of
skilled workers or skill-biased technical change can create a
qualitative change in the composition of jobs, increasing the demand for
skills, wage inequality, and unemployment. I provide some evidence that
there has been a change in the composition of jobs in the United States
during the past two decades."
"58",NA,"9001","When a production process requires two extremely complementary inputs,
conventional wisdom holds that a firm would always upgrade them
simultaneously. We show, however, that if upgrading each input involves
a fixed cost, the firm may upgrade them at different dates,
""asynchronously."" This insight helps us understand why productivity
rises with the age of a plant, why investment in structures is more
spiked than equipment investment, and why plants have spare capacity.
The bigger point of the paper is that complementarity does not
necessarily imply comovement--not even for a single decision maker."
"59",NA,"9001","The Japanese banking crisis provides a natural experiment to test
whether a loan supply shock can affect real economic activity. Because
the shock was external to U.S. credit markets, yet connected through the
Japanese bank penetration of U.S. markets, this event allows us to
identify an exogenous loan supply shock and ultimately link that shock
to construction activity in U.S. commercial real estate markets. We
exploit the variation across geographically distinct commercial real
estate markets to establish conclusively that loan supply shocks
emanating from Japan had real effects on economic activity in the United
States."
"60",NA,"9001","We consider a market with ""red"" and ""green"" workers, where labels are
payoff irrelevant. Workers may acquire skills. Skilled workers search
for vacancies, while firms search for workers. A unique symmetric
equilibrium exists in which color is irrelevant. There are also
asymmetric equilibria in which firms search only for green workers, more
green than red workers acquire skills, skilled green workers receive
higher wages, and the unemployment rate is higher among skilled red
workers. Discrimination between ex ante identical individuals arises in
equilibrium, and yet firms have perfect information about their workers,
and strictly prefer to hire minority workers."
"61",NA,"9001","This paper presents a general-equilibrium model where human capital
investment increases specialization and exposes skilled workers to
region-specific earnings risk Interjurisdictional mobility of skilled
labor mitigates these risks; state-contingent migration of skilled labor
also improves efficiency. With perfect capital markets, labor-market
integration raises welfare and reduces ex post earnings inequality. If
instead human capital investment can only be financed through local
taxes, labor-market integration leads to interjurisdictional fiscal
competition, shifting the burden of taxation to low-skilled immobile
workers. Decentralized public provision of human capital investment
creates earnings inequalities and is inefficient."
"62",NA,"9001","This paper develops a theory of inequality and the social contract
aiming to explain how countries with similar economic and political
""fundamentals"" can sustain such different systems of social insurance,
fiscal redistribution, and education finance as those, of the United
States and Western Europe. With imperfect credit and insurance markets
some redistributive policies can improve ex ante welfare, and this
implies that their political support tends to decrease with inequality.
Conversely, with credit constraints, lower redistribution translates
into more persistent inequality; hence the potential for multiple steady
states, with mutually reinforcing high inequality and low
redistribution, or vice versa."
"63",NA,"9001","This paper uses general-equilibrium simulations to explore the role of
residential mobility in shaping the impact of different private-school
voucher policies. The simulations are derived from a three-district
model of low-, middle-, and high-income school districts (calibrated to
New York data) with housing stocks that vary within and across
districts. In this model, it is demonstrated that school-district
targeted vouchers are similar in their impact to non targeted vouchers
but vastly different from vouchers targeted to low-income households.
Furthermore, strong migration effects are shown to significantly improve
the likely equity consequences of voucher programs."
"64",NA,"9001","In a dynamic model of moral hazard, competition can undermine prudent
bank behavior. While capital-requirement regulation can induce prudent
behavior, the policy yields Pareto-inefficient outcomes. Capital
requirements reduce gambling incentives by putting bank equity at risk.
However, they also have a perverse effect of harming banks' franchise
values, thus encouraging gambling. Pareto-efficient outcomes can be
achieved by adding deposit-rate controls as a regulatory instrument,
since they facilitate prudent investment by increasing franchise values.
Even if deposit-rate ceilings are not binding on the equilibrium path,
they may be useful in deterring gambling off the equilibrium path."
"65",NA,"9001","We demonstrate that a simple model, constructed on the premise that
people are motivated by both their pecuniary payoff and their relative
payoff standing, organizes a large and seemingly disparate set of
laboratory observations as one consistent pattern. The model is
incomplete information but nevertheless posed entirely in terms of
directly observable variables. The model explains observations from
games where equity is thought to be a factor, such as ultimatum and
dictator, games where reciprocity is thought to play a role, such as the
prisoner's dilemma and gift exchange, and games where competitive
behavior is observed, such as Bertrand markets."
"66",NA,"9001","Because government intervention transfers resources from one party to
another, it creates room for corruption. As corruption often undermines
the purpose of the intervention, governments will try to prevent it.
They may create rents for bureaucrats, induce a misallocation of
resources, and increase the size of the bureaucracy. Since preventing
all corruption is excessively costly, second-best intervention may
involve a certain fraction of bureaucrats accepting bribes. When
corruption is harder to prevent, there may be both more bureaucrats and
higher public-sector wages. Also, the optimal degree of government
intervention may be nonmonotonic in the level of income."
"67",NA,"9001","Many open-access resources, such as elephants, are used to produce
storable goods. Anticipated future scarcity of these resources will
increase current prices and poaching. This implies that, for given
initial conditions, there may be rational expectations equilibria
leading to both extinction and survival. The cheapest way for
governments to eliminate extinction equilibria may be to commit to tough
antipoaching measures if the population falls below a threshold. For
governments without credibility, the cheapest way to eliminate
extinction equilibria may be to accumulate a sufficient stockpile of the
storable good and threaten to sell it should the population fall."
