article.url,issue.year,issue.volume,issue.issue,issue.date.of.publication,issue.pages,article.title,article.abstract,article.doi,article.pages,author1,institution1,author2,institution2,author3,institution3,author4,institution4,author5,institution5,author6,institution6,author7,institution7,author8,institution8,author9,institution9,author10,institution10,author11,institution11,author12,institution12,author13,institution13,author14,institution14,author15,institution15,author16,institution16,issue.online,version.of.record.online
http://onlinelibrary.wiley.com/doi/10.1111/1540-5907.00011/abstract,2003,47,1,January 2003,1-204,Urban Armageddon or Politics as Usual? The Case of Municipal Civil Service Reform,"For the better part of the twentieth century, the question of municipal reformism has drawn urban scholarship: Why do some cities change their governing arrangements while others do not? Focusing exclusively on merit systems, in this study I expose the political underpinnings of merit reform in American municipal history. A duration analysis of merit adoptions in a sample of 252 cities in the 1900–1940 period suggests that both state- (home rule status, state merit systems) and city-specific (at-large elections, term length, city size, percent foreign-born, regional location) factors largely determined",10.1111/1540-5907.00011,159-170,Anirudh V. S. Ruhil,University of Illinois at Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 FEB 2003,5 FEB 2003
http://onlinelibrary.wiley.com/doi/10.1111/1540-5907.00012/abstract,2003,47,1,January 2003,1-204,Are Patriots Bigots? An Inquiry into the Vices of In-Group Pride,"One view in the study of intergroup conflict is that pride implies prejudice. However, an increasing number of scholars have come to view in-group pride more benignly, suggesting that such pride can be accompanied by a full range of feelings toward the out-group. In this article, we focus on a substantively interesting case of in-group/out-group attitudes—national pride and hostility toward immigrants. We explore the relationship in two fundamental ways: first by examining the prejudice associated with various dimensions of pride, and second by embedding these relationships in a comprehensive model of prejudice. We find that national pride is most validly measured with two dimensions—patriotism and nationalism—two dimensions that have very different relationships with prejudice. While nationalists have a strong predilection for hostility toward immigrants, patriots show no more prejudice than does the average citizen.",10.1111/1540-5907.00012,171-188,Rui J. P. De Figueiredo Jr.,,Zachary Elkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 FEB 2003,5 FEB 2003
http://onlinelibrary.wiley.com/doi/10.1111/1540-5907.00013/abstract,2003,47,1,January 2003,1-204,The Local Voter: A Geographically Weighted Approach to Ecological Inference,"Drawing inferences about individual behavior from aggregate ecological data has been a persistent problem in electoral and behavioral studies, in spite of important methodological advances. In a recent article ",10.1111/1540-5907.00013,189-204,Ernesto Calvo,,Marcelo Escolar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 FEB 2003,5 FEB 2003
http://onlinelibrary.wiley.com/doi/10.1111/1540-5907.00027/abstract,2003,47,2,April 2003,388-387,Erratum (page 388),N/A,10.1111/1540-5907.00027,N/A,Geoffrey C. Layman,,Thomas M. Carsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28 JUN 2008,28 JUN 2008
http://onlinelibrary.wiley.com/doi/10.1111/1540-5907.00014/abstract,2003,47,2,April 2003,388-387,Bureaucratic Decisions and the Composition of the Lower Courts,"I delineate necessary conditions for the ideological composition of the federal courts to influence bureaucratic decisions independently of lawsuits and test for the relationship with data on the implementation of wetlands policy. Examining 18,331 decisions by the Army Corps of Engineers over whether to issue a permit for the development of wetlands between 1988 and 1996, I analyze whether these decisions were influenced by the composition of the appellate and district courts. The results indicate that judicial ideology significantly affects bureaucratic decision making. Specifically, a standard deviation increase in the liberalism of the lower courts decreases the probability that the Corps will grant a permit by 14%, which is comparable to the effects of long-recognized determinants of administrative behavior.",10.1111/1540-5907.00014,205-214,Brandice Canes-Wrone,Northwestern University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 APR 2003,14 APR 2003
http://onlinelibrary.wiley.com/doi/10.1111/1540-5907.00015/abstract,2003,47,2,April 2003,388-387,The Evolution of Party Systems between Elections,"Most existing theoretical work on party competition pays little attention to the evolution of party systems between elections as a result of defections between parties. In this article, we treat individual legislators as utility-maximizing agents tempted to defect to other parties if this would increase their expected payoffs. We model the evolution of party systems between elections in these terms and discuss this analytically, exploring unanswered questions using computational methods. Under office-seeking motivational assumptions, our results strikingly highlight the role of the largest party, especially when it is “dominant” in the technical sense, as a pole of attraction in interelectoral evolution.",10.1111/1540-5907.00015,215-233,Michael Laver,,Kenneth Benoit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 APR 2003,14 APR 2003
http://onlinelibrary.wiley.com/doi/10.1111/1540-5907.00016/abstract,2003,47,2,April 2003,388-387,"Democratic Survival, Peace, and War in the International System","Post-World War II Western foreign policies are often based on the claim that the spread of democracy will result in global peace. Our understanding of how this propagation can bring about peace is limited, and we have little reason to believe that the causal arrow points only in one direction. We tackle these issues by modeling the linkages between states' regime types, interstate conflict, and the strength of the democratic community relative to the autocratic community. Analysis of our model suggests initial increases in the strength of the democratic community increase the level of conflict in a system. Beyond a threshold of democratic strength, however, conflict wanes as the democratic community waxes. Our model also suggests that the survival rate of democracies increases as the material strength of the democratic community increases and decreases as systemic conflict rises. Empirical analyses offer support for the survival propositions.",10.1111/1540-5907.00016,234-247,Kelly M. Kadera,,Mark J. C. Crescenzi,,Megan L. Shannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 APR 2003,14 APR 2003
http://onlinelibrary.wiley.com/doi/10.1111/1540-5907.00017/abstract,2003,47,2,April 2003,388-387,Tradition and Prudence in Locke's Exceptions to Toleration,"Why did Locke exclude Catholics and atheists from toleration? Not, I contend, because he was trapped by his context, but because his prudential approach and practical judgments led him to traditional texts. I make this argument first by outlining the connections among prudential exceptionality, practical judgments, and traditional texts. I then describe important continuities between conventional English understandings of the relationship between state and religion and Locke's writings on toleration, discuss Locke's conception of rights, and illustrate his use of prudential exceptions and distinctions. I conclude by arguing that Locke's problems are relevant to assessing contemporary liberal discussions of toleration and the separation of state and religion that lean heavily on practical justifications.",10.1111/1540-5907.00017,248-258,David J. Lorenzo,Jamestown College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 APR 2003,14 APR 2003
http://onlinelibrary.wiley.com/doi/10.1111/1540-5907.00018/abstract,2003,47,2,April 2003,388-387,"The Media, the Campaign, and the Message","This article examines the 1996 press releases issued by Republican presidential nominee candidates during the invisible primary and the subsequent stories generated by these press releases in newspapers. We systematically examine how campaigns structure their messages, which messages are transmitted by the press to the voting public, and what factors influence the transmission of the campaign's message. We find that campaign organizations disseminate a variety of messages to the media. Our analysis demonstrates that national media organizations are most receptive to informative (logistical) messages disseminated by candidates who are at the head of the field and most hostile to substantive (issue-oriented) messages regardless of their campaign of origin. By contrast, the state press is most open to substantive messages issued by lower-tier candidates. It appears from our results that the media, more than the campaign, bear the responsibility for the emphasis on the horse race.",10.1111/1540-5907.00018,259-273,Julianne F. Flowers,,Audrey A. Haynes,,Michael H. Crespin,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 APR 2003,14 APR 2003
http://onlinelibrary.wiley.com/doi/10.1111/1540-5907.00019/abstract,2003,47,2,April 2003,388-387,A Strategic Theory of Bureaucratic Redundancy,"Do redundant bureaucratic arrangements represent wasteful duplication or a hedge against political uncertainty? Previous attempts at addressing this question have treated agency actions as exogenous, thus avoiding strategic issues such as collective action problems or competition. I develop a game-theoretic model of bureaucratic policy making in which a political principal chooses the number of agents to handle a given task. Importantly, agents have policy preferences that may be opposed to the principal's, and furthermore may choose their policy or effort levels. Among the results are that redundancy can help a principal achieve her policy goals when her preferences are not aligned with the agents'. But redundancy is less helpful if even a single agent has preferences relatively close to the principal's. In this environment collective action problems may cause multiple agents to be less effective than a single agent. Redundancy can also be unnecessary to the principal if the agent's jurisdiction can be terminated.",10.1111/1540-5907.00019,274-292,Michael M. Ting,Columbia University and Harvard University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 APR 2003,14 APR 2003
http://onlinelibrary.wiley.com/doi/10.1111/1540-5907.00020/abstract,2003,47,2,April 2003,388-387,Conditional Party Government and Campaign Contributions: Insights from the Tobacco and Alcoholic Beverage Industries,"I examine whether tobacco and alcoholic beverage PAC giving in the 1975-to-2000 period has followed trends inferred by the conditional party government (CPG) model. I look specifically at these PACs because they should be especially sensitive to shifting veto points in the legislative process and, consistent with CPG, contribute increasingly more to the majority party and its leadership and relatively less to members of relevant standing committees. My results show both sectors to give more to leadership as party becomes more important. Increasing CPG, however, generally results in greater giving by tobacco to members of the majority party and relatively larger contributions from alcoholic beverages to committee members and their chairs. I reveal a principal cause of this difference to be issue salience and conclude by arguing that contributions from some PACs are reacting to increased partisanship in the House but PACs interested in issues of relatively low salience still behave as if dealing with a chamber organized along distributive lines—a development that is consistent with CPG.",10.1111/1540-5907.00020,293-304,Andrew J. Taylor,North Carolina State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 APR 2003,14 APR 2003
http://onlinelibrary.wiley.com/doi/10.1111/1540-5907.00021/abstract,2003,47,2,April 2003,388-387,"Procedural Contexts, Party Strategy, and Conditional Party Voting in the U.S. House of Representatives, 1971–2000","In this article, we provide a critical review of the evidence and arguments about party polarization in the House of Representatives during the late 20th century. We show that inferences about party polarization are significantly affected by voting reform in the early 1970s. We observe that a decomposed roll-call record alters our view of the timing of changes in party polarization and therefore requires that we reconsider explanations of the trend. We revisit explanations of party polarization and establish a strong case for placing substantial emphasis on party strategies in explanations of party polarization in floor behavior during the 1980s and 1990s.",10.1111/1540-5907.00021,305-317,Jason M. Roberts,,Steven S. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 APR 2003,14 APR 2003
http://onlinelibrary.wiley.com/doi/10.1111/1540-5907.00022/abstract,2003,47,2,April 2003,388-387,Institutionalizing Peace: Power Sharing and Post-Civil War Conflict Management,"This article examines how power-sharing institutions might best be designed to stabilize the transition to enduring peace among former adversaries following the negotiated settlement of civil wars. We identify four different forms of power sharing based on whether the intent of the policy is to share or divide power among rivals along its political, territorial, military, or economic dimension. Employing the statistical methodology of survival analysis to examine the 38 civil wars resolved via the process of negotiations between 1945 and 1998, we find that the more dimensions of power sharing among former combatants specified in a peace agreement the higher is the likelihood that peace will endure. We suggest that this relationship obtains because of the unique capacity of power-sharing institutions to foster a sense of security among former enemies and encourage conditions conducive to a self-enforcing peace.",10.1111/1540-5907.00022,318-332,Caroline Hartzell,,Matthew Hoddie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 APR 2003,14 APR 2003
http://onlinelibrary.wiley.com/doi/10.1111/1540-5907.00023/abstract,2003,47,2,April 2003,388-387,The Political Economy of Growth: Democracy and Human Capital,"Democracy is more than just another brake or booster for the economy. We argue that there are significant indirect effects of democracy on growth through public health and education. Where economists use life expectancy and education as proxies for human capital, we expect democracy will be an important determinant of the level of public services manifested in these indicators. In addition to whatever direct effect democracy may have on growth, we predict an important indirect effect through public policies that condition the level of human capital in different societies. We conduct statistical investigations into the direct and indirect effects of democracy on growth using a data set consisting of a 30-year panel of 128 countries. We find that democracy has no statistically significant direct effect on growth. Rather, we discover that the effect of democracy is largely indirect through increased life expectancy in poor countries and increased secondary education in nonpoor countries.",10.1111/1540-5907.00023,333-347,Matthew A. Baum,,David A. Lake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 APR 2003,14 APR 2003
http://onlinelibrary.wiley.com/doi/10.1111/1540-5907.00024/abstract,2003,47,2,April 2003,388-387,Presidential Press Conferences over Time,Scholars have debated whether the president's public activities are a function of political and economic factors (presidency-centered variables) or individual presidents and their administration's tendencies (president-centered variables). This article examines one of the only quantitative studies that assesses the influence of these variables on presidential press conferences over time. I replicate this study (,10.1111/1540-5907.00024,348-353,Matthew Eshbaugh-Soha,Texas A&M University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 APR 2003,14 APR 2003
http://onlinelibrary.wiley.com/doi/10.1111/1540-5907.00025/abstract,2003,47,2,April 2003,388-387,Measuring Attitudes toward the United States Supreme Court,"It is conventional in research on the legitimacy of the U.S. Supreme Court to rely on a survey question asking about confidence in the leaders of the Court to indicate something about the esteem with which that institution is regarded by the American people. The purpose of this article is to investigate the validity of this measure. Based on a nationally representative survey conducted in 2001, we compare confidence with several different measures of Court legitimacy. Our findings indicate that the confidence replies seem to reflect both short-term and long-term judgments about the Court, with the greater influence coming from satisfaction with how the Court is performing at the moment. We suggest a new set of indicators for measuring the legitimacy of the Court and offer some evidence on the structure of the variance in these items.",10.1111/1540-5907.00025,354-367,James L. Gibson,,Gregory A. Caldeira,,Lester Kenyatta Spence,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 APR 2003,14 APR 2003
http://onlinelibrary.wiley.com/doi/10.1111/1540-5907.00026/abstract,2003,47,2,April 2003,388-387,Contagion Effects and Ethnic Contribution Networks,"Many political behavior theories explicitly incorporate the idea that context matters in politics. Nonetheless, the concept of spatial dependence—in particular, that behavior in geographic units is somehow related to and affected by behavior in neighboring areas—is not extensively explored. The study of campaign finance is no exception. Research in this area concentrates on the attributes of the individual donor, leaving context underexplored. Concepts such as contribution networks, for instance, are not rigorously tested. This article reexamines the impact of conventional socio-demographic covariates on campaign donation behavior by ethnic contributors and explicitly models spatial effects. The spatial analysis reveals that patterns of campaign donations are geographically clustered (exhibiting both spatial dependence, implying a neighborhood effect, and spatial heterogeneity, implying a regional effect), and that this clustering cannot be explained completely by socio-economic and demographic variables. While socio-demographic characteristics are important components of the dynamic underlying campaign contributions, there is also evidence consistent with a contagion effect whereby ethnic contribution networks are fueling funds to candidate coffers.",10.1111/1540-5907.00026,368-387,Wendy K. Tam Cho,University of Illinois at Urbana-Champaign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 APR 2003,14 APR 2003
http://onlinelibrary.wiley.com/doi/10.1111/1540-5907.00028/abstract,2003,47,3,July 2003,389-566,"Transparency, Democratic Accountability, and the Economic Consequences of Monetary Institutions","Debates about the appropriate mix between autonomy and accountability of bureaucrats are relevant to numerous areas of government action. I examine whether there is evidence of a tradeoff between transparency, democratic accountability, and the gains from monetary delegation. I begin by presenting a simple theoretical model which suggests that central banks that are transparent, in the sense of publishing their macroeconomic forecasts, will find it easier to acquire a reputation. Despite making central banks more subject to outside scrutiny then, monetary transparency can lead to improved economic outcomes. I also consider arguments about the effect of accountability provisions involving parliamentary oversight and control over central bankers. The article then uses a new data set to examine these issues empirically, focusing on a natural experiment involving disinflation costs under different central banking institutions during the 1990s. Results suggest that countries with more transparent central banks face lower costs of disinflation while accountability provisions have no clear effect on disinflation costs. My results also concord with earlier findings that the effect of monetary institutions is conditional on other features of the political environment.",10.1111/1540-5907.00028,389-402,David Stasavage,London School of Economics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 JUN 2003,12 JUN 2003
http://onlinelibrary.wiley.com/doi/10.1111/1540-5907.00029/abstract,2003,47,3,July 2003,389-566,The Political Environment and Ballot Proposition Awareness,"Studies that examine whether voters make informed decisions on direct legislation and whether direct legislation enhances civic engagement presume a basic awareness of ballot propositions, yet little is known about why some ballot propositions are more widely known than others. Despite the fact that research on awareness of ballot propositions and political awareness focus on individual factors, the political environment plays a vital role. This study seeks to advance our understanding of environmental factors in explaining awareness of ballot propositions. Using data on California ballot elections between the years 1956 and 2000, I find that the political environment has a substantial effect on voter awareness. Specifically, I find that the electoral cycle, media coverage, campaign spending, voter fatigue, the number of days before an election, and issues that concern morality, civil liberties, and civil rights contribute to ballot proposition awareness.",10.1111/1540-5907.00029,403-410,Stephen P. Nicholson,Georgia State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 JUN 2003,12 JUN 2003
http://onlinelibrary.wiley.com/doi/10.1111/1540-5907.00030/abstract,2003,47,3,July 2003,389-566,Congressional Response to Mandate Elections,"Elections from time to time are widely believed to carry a mandate, to express a message about changed policy preferences of the electorate. Whatever the accuracy of such beliefs—a matter about which we are skeptical—perceptions of a mandate should affect the behavior of actors in government. Politicians lack the scholarly luxury of waiting for careful analyses. They must act in the months following elections. We postulate that many will act as if the mandate perceptions were true, veering away from their normal voting patterns. This is driven by election results and interpretations that undermine old calculations about what voters want. As the flow of information gradually changes these perceptions, and the election becomes more distant, members of Congress return to their normal position. We first ask, how would members observe an emerging consensus of mandate? And then we model the duration of the change in behavior in an event-history framework. That permits a depiction of important movements of the median member and, from this, inferences about policy impact.",10.1111/1540-5907.00030,411-426,David A. M. Peterson,Texas A&M University,Lawrence J. Grossback,Texas A&M University,James A. Stimson,Texas A&M University,Amy Gangl,Texas A&M University,,,,,,,,,,,,,,,,,,,,,,,,,12 JUN 2003,12 JUN 2003
http://onlinelibrary.wiley.com/doi/10.1111/1540-5907.00031/abstract,2003,47,3,July 2003,389-566,Do Alliances Deter Aggression? The Influence of Military Alliances on the Initiation of Militarized Interstate Disputes,"Scholars have long debated the effects of military alliances on the likelihood of war, and no clear support has emerged for the argument that alliances improve the prospects for peace through effective deterrence nor that they kindle the flames of war. In this study, I argue that alliance commitments affect the probability that a potential challenger will initiate a militarized interstate dispute because alliances provide information about the likelihood that others will intervene in a potential conflict. Yet, different agreements provide different information. Alliance commitments that would require allies to intervene on behalf of potential target states reduce the probability that a militarized dispute will emerge, but alliance commitments promising offensive support to a potential challenger and alliances that promise nonintervention by outside powers increase the likelihood that a challenger will initiate a crisis. As diplomats have long understood, the specific content of international agreements helps to determine their effects.",10.1111/1540-5907.00031,427-439,Brett Ashley Leeds,Rice University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 JUN 2003,12 JUN 2003
http://onlinelibrary.wiley.com/doi/10.1111/1540-5907.00032/abstract,2003,47,3,July 2003,389-566,The Determinants and Consequences of Recall Error About Gulf War Preferences,"Memory plays a key role in many theories of politics, yet the determinants of inaccurate political memories have not been the subject of much investigation. Combining a dosage-resistance theory of political communications with a theory of memory lapse and reconstruction, it is predicted that a clearly identifiable cluster of traits ought to render people vulnerable to inaccurate autobiographical memory. Testing this hypothesis with ANES 1990–1992 Gulf War panel data on postwar memories of prewar preferences, the theory receives considerable empirical support. Among other factors, media exposure and trust in government increase vulnerability to misremembering, while education increases resistance. Finally, it is established that inaccuracy in autobiographical memory can be tied to future political behavior: those respondents whose recall was inaccurate in 1991 were more likely to vote for the incumbent in 1992.",10.1111/1540-5907.00032,440-452,Mark R. Joslyn,University of Kansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 JUN 2003,12 JUN 2003
